Name,Phone,Crop_Type,Crop_Area,Season,Location,Estimated_Income,Farm_Scale,Region,Drone_Service_Potential,Area_Score,Season_Score,Region_Score,Drone_Service_Potential_scaled,Area_Score_scaled,Season_Score_scaled,Region_Score_scaled
Amina Sheikh,0341-6823004,rice,26,Kharif,Rahim Yar Khan,3120000,Medium,Punjab,9,3.27,7,10.0,0.7871157222839331,-0.11764406210785257,-0.18292076306756358,0.6518566425757396
Noman Gondal,0309-4310690,wheat,9,Rabi,Lahore,855000,Small,Punjab,7,1.73,5,10.0,-0.518217150492075,-0.8921475489670054,-1.1456616213178985,0.6518566425757396
Tariq Qureshi,0302-6738302,rice,12,Both,Gujranwala,2304000,Medium,Punjab,9,2.0,10,10.0,0.7871157222839331,-0.7563579765955956,1.2611905243079389,0.6518566425757396
Arsalan Qureshi,0320-2836440,cotton,85,Kharif,Mardan,12750000,Large,Kpk,10,8.64,7,5.0,1.439782158671937,2.583059655056856,-0.18292076306756358,-2.295054038146411
Kashif Bhatti,0323-6856624,rice,27,Kharif,Sahiwal,3240000,Medium,Punjab,9,3.36,7,10.0,0.7871157222839331,-0.07238087131738268,-0.18292076306756358,0.6518566425757396
Zafar Abbasi,0303-8668826,wheat,18,Rabi,Faisalabad,1710000,Medium,Punjab,7,2.55,5,10.0,-0.518217150492075,-0.4797495884316124,-1.1456616213178985,0.6518566425757396
Sajid Khokhar,0303-4699013,sugarcane,40,Kharif,Sahiwal,7200000,Medium,Punjab,8,4.55,7,10.0,0.13444928589592908,0.5260990958010536,-0.18292076306756358,0.6518566425757396
Muhammad Gill,0312-1739363,cotton,46,Kharif,Rahim Yar Khan,6900000,Medium,Punjab,10,5.09,7,10.0,1.439782158671937,0.7976782405438735,-0.18292076306756358,0.6518566425757396
Waseem Khattak,0334-1753556,wheat,19,Both,Sukkur,2888000,Medium,Sindh,7,2.64,10,8.0,-0.518217150492075,-0.43448639764114233,1.2611905243079389,-0.5269076297131206
Anum Junejo,0318-2353693,rice,23,Both,Swabi,4416000,Medium,Kpk,9,3.0,10,5.0,0.7871157222839331,-0.2534336344792625,1.2611905243079389,-2.295054038146411
Kashif Abbasi,0310-5228728,tobacco,1,Rabi,Faisalabad,200000,Small,Punjab,5,1.0,5,10.0,-1.823550023268083,-1.2592823187119284,-1.1456616213178985,0.6518566425757396
Muhammad Junejo,0308-3120387,rice,22,Kharif,Mirpur Khas,2640000,Medium,Sindh,9,2.91,7,8.0,0.7871157222839331,-0.2986968252697324,-0.18292076306756358,-0.5269076297131206
Ahmad Khan,0341-8600848,canola,3,Rabi,Vehari,255000,Small,Punjab,5,1.18,5,10.0,-1.823550023268083,-1.1687559371309888,-1.1456616213178985,0.6518566425757396
Amina Shah,0340-2339845,wheat,30,Rabi,Vehari,2850000,Medium,Punjab,7,3.64,5,10.0,-0.518217150492075,0.06843794447519069,-1.1456616213178985,0.6518566425757396
Faisal Wattoo,0305-0166687,wheat,5,Rabi,Sukkur,475000,Small,Sindh,7,1.36,5,8.0,-0.518217150492075,-1.0782295555500485,-1.1456616213178985,-0.5269076297131206
Junaid Shah,0340-0339740,sunflower,12,Both,Peshawar,1536000,Medium,Kpk,5,2.0,10,5.0,-1.823550023268083,-0.7563579765955956,1.2611905243079389,-2.295054038146411
Fatima Gill,0344-2614293,cotton,59,Both,Mirpur Khas,14160000,Large,Sindh,10,6.27,10,8.0,1.439782158671937,1.3911289642411462,1.2611905243079389,-0.5269076297131206
Kamran Jatoi,0337-5016315,cotton,88,Kharif,Charsadda,13200000,Large,Kpk,10,8.91,7,5.0,1.439782158671937,2.7188492274282656,-0.18292076306756358,-2.295054038146411
Shehzad Laghari,0336-3586629,cotton,20,Kharif,Hyderabad,3000000,Medium,Sindh,10,2.73,7,8.0,1.439782158671937,-0.3892232068506724,-0.18292076306756358,-0.5269076297131206
Sajid Rehman,0309-6265511,wheat,24,Both,Okara,3648000,Medium,Punjab,7,3.09,10,10.0,-0.518217150492075,-0.2081704436887926,1.2611905243079389,0.6518566425757396
Zahid Laghari,0342-8861015,cotton,86,Kharif,Pakpattan,12900000,Large,Punjab,10,8.73,7,10.0,1.439782158671937,2.628322845847326,-0.18292076306756358,0.6518566425757396
Sohail Tarar,0305-8398262,wheat,24,Both,Multan,3648000,Medium,Punjab,7,3.09,10,10.0,-0.518217150492075,-0.2081704436887926,1.2611905243079389,0.6518566425757396
Sohail Wattoo,0335-1543799,wheat,11,Rabi,Lahore,1045000,Medium,Punjab,7,1.91,5,10.0,-0.518217150492075,-0.8016211673860655,-1.1456616213178985,0.6518566425757396
Arshad Tarar,0322-7569245,cotton,98,Both,Pakpattan,23520000,Large,Punjab,10,9.82,10,10.0,1.439782158671937,3.176510378754129,1.2611905243079389,0.6518566425757396
Arsalan Lodhi,0347-7935646,rice,21,Both,Rahim Yar Khan,4032000,Medium,Punjab,9,2.82,10,10.0,0.7871157222839331,-0.34396001606020254,1.2611905243079389,0.6518566425757396
Ahmad Abbasi,0313-7416724,wheat,47,Rabi,Vehari,4465000,Medium,Punjab,7,5.18,5,10.0,-0.518217150492075,0.8429414313343433,-1.1456616213178985,0.6518566425757396
Saeed Yousafzai,0344-6886805,sugarcane,39,Both,Faisalabad,11232000,Medium,Punjab,8,4.45,10,10.0,0.13444928589592908,0.4758066615894205,1.2611905243079389,0.6518566425757396
Hamza Dogar,0348-9096561,wheat,21,Rabi,Rahim Yar Khan,1995000,Medium,Punjab,7,2.82,5,10.0,-0.518217150492075,-0.34396001606020254,-1.1456616213178985,0.6518566425757396
Faisal Laghari,0324-6798250,rice,12,Both,Faisalabad,2304000,Medium,Punjab,9,2.0,10,10.0,0.7871157222839331,-0.7563579765955956,1.2611905243079389,0.6518566425757396
Sadia Gondal,0320-5738757,wheat,49,Both,Faisalabad,7448000,Medium,Punjab,7,5.36,10,10.0,-0.518217150492075,0.9334678129152836,1.2611905243079389,0.6518566425757396
Bilal Ahmed,0322-1238282,wheat,32,Rabi,Mardan,3040000,Medium,Kpk,7,3.82,5,5.0,-0.518217150492075,0.1589643260561305,-1.1456616213178985,-2.295054038146411
Rizwan Talpur,0330-0937966,wheat,18,Rabi,Faisalabad,1710000,Medium,Punjab,7,2.55,5,10.0,-0.518217150492075,-0.4797495884316124,-1.1456616213178985,0.6518566425757396
Rashid Sheikh,0324-5371478,canola,13,Rabi,Gujranwala,1105000,Medium,Punjab,5,2.09,5,10.0,-1.823550023268083,-0.7110947858051256,-1.1456616213178985,0.6518566425757396
Hamza Abbasi,0346-2499125,wheat,24,Rabi,Pakpattan,2280000,Medium,Punjab,7,3.09,5,10.0,-0.518217150492075,-0.2081704436887926,-1.1456616213178985,0.6518566425757396
Sohail Butt,0343-6627828,wheat,23,Rabi,Pakpattan,2185000,Medium,Punjab,7,3.0,5,10.0,-0.518217150492075,-0.2534336344792625,-1.1456616213178985,0.6518566425757396
Hamza Khan,0336-2368876,cotton,63,Both,Nawabshah,15120000,Large,Sindh,10,6.64,10,8.0,1.439782158671937,1.5772109708241895,1.2611905243079389,-0.5269076297131206
Ahmad Mughal,0318-0438427,cotton,73,Both,Faisalabad,17520000,Large,Punjab,10,7.55,10,10.0,1.439782158671937,2.0348721221500528,1.2611905243079389,0.6518566425757396
Rashid Lashari,0341-0783613,wheat,7,Rabi,Pakpattan,665000,Small,Punjab,7,1.55,5,10.0,-0.518217150492075,-0.9826739305479454,-1.1456616213178985,0.6518566425757396
Bilal Qureshi,0313-9596292,sugarcane,18,Kharif,Mirpur Khas,3240000,Medium,Sindh,8,2.55,7,8.0,0.13444928589592908,-0.4797495884316124,-0.18292076306756358,-0.5269076297131206
Rashid Dogar,0321-4494812,canola,16,Rabi,Swabi,1360000,Medium,Kpk,5,2.36,5,5.0,-1.823550023268083,-0.5753052134337157,-1.1456616213178985,-2.295054038146411
Kamran Qureshi,0309-5367294,cotton,58,Both,Faisalabad,13920000,Large,Punjab,10,6.18,10,10.0,1.439782158671937,1.3458657734506763,1.2611905243079389,0.6518566425757396
Waseem Abbasi,0336-5901751,sugarcane,30,Kharif,Vehari,5400000,Medium,Punjab,8,3.64,7,10.0,0.13444928589592908,0.06843794447519069,-0.18292076306756358,0.6518566425757396
Arsalan Lodhi,0322-8929750,wheat,45,Both,Nawabshah,6840000,Medium,Sindh,7,5.0,10,8.0,-0.518217150492075,0.7524150497534036,1.2611905243079389,-0.5269076297131206
Maryam Laghari,0334-0632424,wheat,28,Rabi,Pakpattan,2660000,Medium,Punjab,7,3.45,5,10.0,-0.518217150492075,-0.02711768052691255,-1.1456616213178985,0.6518566425757396
Tariq Mahar,0347-4361103,rice,7,Kharif,Rahim Yar Khan,840000,Small,Punjab,9,1.55,7,10.0,0.7871157222839331,-0.9826739305479454,-0.18292076306756358,0.6518566425757396
Junaid Nawaz,0332-2713611,wheat,28,Rabi,Mardan,2660000,Medium,Kpk,7,3.45,5,5.0,-0.518217150492075,-0.02711768052691255,-1.1456616213178985,-2.295054038146411
Kamran Gujjar,0304-8909275,sugarcane,14,Kharif,Charsadda,2520000,Medium,Kpk,8,2.18,7,5.0,0.13444928589592908,-0.6658315950146555,-0.18292076306756358,-2.295054038146411
Usman Butt,0307-9656523,wheat,10,Rabi,Gujranwala,950000,Medium,Punjab,7,1.82,5,10.0,-0.518217150492075,-0.8468843581765354,-1.1456616213178985,0.6518566425757396
Ahmad Wattoo,0313-8983640,sugarcane,20,Both,Faisalabad,5760000,Medium,Punjab,8,2.73,10,10.0,0.13444928589592908,-0.3892232068506724,1.2611905243079389,0.6518566425757396
Imran Khan,0324-5269658,cotton,70,Both,Peshawar,16800000,Large,Kpk,10,7.27,10,5.0,1.439782158671937,1.8940533063574794,1.2611905243079389,-2.295054038146411
Yasir Gill,0302-0684866,sugarcane,10,Kharif,Mirpur Khas,1800000,Medium,Sindh,8,1.82,7,8.0,0.13444928589592908,-0.8468843581765354,-0.18292076306756358,-0.5269076297131206
Haroon Jatoi,0337-3285691,wheat,32,Both,Larkana,4864000,Medium,Sindh,7,3.82,10,8.0,-0.518217150492075,0.1589643260561305,1.2611905243079389,-0.5269076297131206
Zahid Nawaz,0334-9904210,sugarcane,5,Kharif,Pakpattan,900000,Small,Punjab,8,1.36,7,10.0,0.13444928589592908,-1.0782295555500485,-0.18292076306756358,0.6518566425757396
Yasir Dogar,0324-2410564,rice,11,Kharif,Mirpur Khas,1320000,Medium,Sindh,9,1.91,7,8.0,0.7871157222839331,-0.8016211673860655,-0.18292076306756358,-0.5269076297131206
Shahid Lashari,0303-7925241,maize,5,Both,Rahim Yar Khan,800000,Small,Punjab,6,1.36,10,10.0,-1.1708835868800789,-1.0782295555500485,1.2611905243079389,0.6518566425757396
Fatima Qureshi,0302-7562208,sugarcane,31,Kharif,Sahiwal,5580000,Medium,Punjab,8,3.73,7,10.0,0.13444928589592908,0.1137011352656606,-0.18292076306756358,0.6518566425757396
Shehzad Choudhary,0343-5180238,tobacco,7,Rabi,Bahawalpur,1400000,Small,Punjab,5,1.55,5,10.0,-1.823550023268083,-0.9826739305479454,-1.1456616213178985,0.6518566425757396
Haroon Cheema,0305-8705349,sugarcane,20,Kharif,Gujranwala,3600000,Medium,Punjab,8,2.73,7,10.0,0.13444928589592908,-0.3892232068506724,-0.18292076306756358,0.6518566425757396
Sana Qureshi,0309-0603850,canola,3,Rabi,Nawabshah,255000,Small,Sindh,5,1.18,5,8.0,-1.823550023268083,-1.1687559371309888,-1.1456616213178985,-0.5269076297131206
Usman Gill,0340-3670241,wheat,19,Rabi,Charsadda,1805000,Medium,Kpk,7,2.64,5,5.0,-0.518217150492075,-0.43448639764114233,-1.1456616213178985,-2.295054038146411
Sajid Shah,0337-2619906,cotton,26,Kharif,Okara,3900000,Medium,Punjab,10,3.27,7,10.0,1.439782158671937,-0.11764406210785257,-0.18292076306756358,0.6518566425757396
Shazia Cheema,0321-7431329,wheat,11,Both,Bahawalpur,1672000,Medium,Punjab,7,1.91,10,10.0,-0.518217150492075,-0.8016211673860655,1.2611905243079389,0.6518566425757396
Hamza Gill,0333-4741124,maize,3,Both,Pakpattan,480000,Small,Punjab,6,1.18,10,10.0,-1.1708835868800789,-1.1687559371309888,1.2611905243079389,0.6518566425757396
Hamza Mahar,0337-0442067,cotton,80,Both,Bahawalpur,19200000,Large,Punjab,10,8.18,10,10.0,1.439782158671937,2.351714457683342,1.2611905243079389,0.6518566425757396
Bilal Khan,0303-3236519,cotton,19,Both,Faisalabad,4560000,Medium,Punjab,10,2.64,10,10.0,1.439782158671937,-0.43448639764114233,1.2611905243079389,0.6518566425757396
Kamran Jatoi,0322-1070296,maize,14,Kharif,Vehari,1400000,Medium,Punjab,6,2.18,7,10.0,-1.1708835868800789,-0.6658315950146555,-0.18292076306756358,0.6518566425757396
Naveed Sheikh,0317-4720999,wheat,23,Rabi,Rahim Yar Khan,2185000,Medium,Punjab,7,3.0,5,10.0,-0.518217150492075,-0.2534336344792625,-1.1456616213178985,0.6518566425757396
Irfan Butt,0331-3838065,rice,28,Kharif,Gujranwala,3360000,Medium,Punjab,9,3.45,7,10.0,0.7871157222839331,-0.02711768052691255,-0.18292076306756358,0.6518566425757396
Rizwan Ahmed,0321-9304078,rice,21,Both,Mardan,4032000,Medium,Kpk,9,2.82,10,5.0,0.7871157222839331,-0.34396001606020254,1.2611905243079389,-2.295054038146411
Shehzad Bhatti,0314-9652239,wheat,49,Both,Gujranwala,7448000,Medium,Punjab,7,5.36,10,10.0,-0.518217150492075,0.9334678129152836,1.2611905243079389,0.6518566425757396
Akram Gujjar,0343-3784270,wheat,19,Rabi,Sukkur,1805000,Medium,Sindh,7,2.64,5,8.0,-0.518217150492075,-0.43448639764114233,-1.1456616213178985,-0.5269076297131206
Arshad Khokhar,0308-5250029,sugarcane,14,Kharif,Mirpur Khas,2520000,Medium,Sindh,8,2.18,7,8.0,0.13444928589592908,-0.6658315950146555,-0.18292076306756358,-0.5269076297131206
Kiran Mahar,0344-1545226,sugarcane,36,Kharif,Larkana,6480000,Medium,Sindh,8,4.18,7,8.0,0.13444928589592908,0.3400170892180103,-0.18292076306756358,-0.5269076297131206
Arshad Gondal,0314-9264422,sugarcane,30,Both,Peshawar,8640000,Medium,Kpk,8,3.64,10,5.0,0.13444928589592908,0.06843794447519069,1.2611905243079389,-2.295054038146411
Arshad Mughal,0347-9172513,wheat,25,Rabi,Faisalabad,2375000,Medium,Punjab,7,3.18,5,10.0,-0.518217150492075,-0.16290725289832247,-1.1456616213178985,0.6518566425757396
Junaid Laghari,0300-4331541,sugarcane,8,Kharif,Vehari,1440000,Small,Punjab,8,1.64,7,10.0,0.13444928589592908,-0.9374107397574755,-0.18292076306756358,0.6518566425757396
Sidra Tarar,0323-8617932,rice,28,Both,Hyderabad,5376000,Medium,Sindh,9,3.45,10,8.0,0.7871157222839331,-0.02711768052691255,1.2611905243079389,-0.5269076297131206
Usman Choudhary,0322-2621815,cotton,88,Both,Peshawar,21120000,Large,Kpk,10,8.91,10,5.0,1.439782158671937,2.7188492274282656,1.2611905243079389,-2.295054038146411
Saeed Talpur,0310-0153368,sugarcane,39,Both,Okara,11232000,Medium,Punjab,8,4.45,10,10.0,0.13444928589592908,0.4758066615894205,1.2611905243079389,0.6518566425757396
Adeel Khattak,0309-0506149,rice,6,Kharif,Multan,720000,Small,Punjab,9,1.45,7,10.0,0.7871157222839331,-1.0329663647595786,-0.18292076306756358,0.6518566425757396
Sidra Nawaz,0320-6774186,wheat,29,Both,Bahawalpur,4408000,Medium,Punjab,7,3.55,10,10.0,-0.518217150492075,0.023174753684720575,1.2611905243079389,0.6518566425757396
Yasir Mughal,0317-9021158,rice,27,Both,Rahim Yar Khan,5184000,Medium,Punjab,9,3.36,10,10.0,0.7871157222839331,-0.07238087131738268,1.2611905243079389,0.6518566425757396
Jamil Junejo,0341-7937416,sunflower,13,Rabi,Gujranwala,1040000,Medium,Punjab,5,2.09,5,10.0,-1.823550023268083,-0.7110947858051256,-1.1456616213178985,0.6518566425757396
Arshad Gujjar,0307-7223320,rice,24,Kharif,Multan,2880000,Medium,Punjab,9,3.09,7,10.0,0.7871157222839331,-0.2081704436887926,-0.18292076306756358,0.6518566425757396
Imran Jatoi,0325-8685487,sunflower,2,Rabi,Mirpur Khas,160000,Small,Sindh,5,1.09,5,8.0,-1.823550023268083,-1.2140191279214587,-1.1456616213178985,-0.5269076297131206
Bilal Junejo,0309-2999119,sugarcane,23,Kharif,Swabi,4140000,Medium,Kpk,8,3.0,7,5.0,0.13444928589592908,-0.2534336344792625,-0.18292076306756358,-2.295054038146411
Kashif Yousafzai,0302-2462996,wheat,26,Rabi,Sukkur,2470000,Medium,Sindh,7,3.27,5,8.0,-0.518217150492075,-0.11764406210785257,-1.1456616213178985,-0.5269076297131206
Kiran Ahmed,0322-4447132,wheat,33,Both,Hyderabad,5016000,Medium,Sindh,7,3.91,10,8.0,-0.518217150492075,0.20422751684660062,1.2611905243079389,-0.5269076297131206
Sajid Khokhar,0333-3678508,sugarcane,9,Kharif,Rahim Yar Khan,1620000,Small,Punjab,8,1.73,7,10.0,0.13444928589592908,-0.8921475489670054,-0.18292076306756358,0.6518566425757396
Jamil Ahmed,0311-3303070,sunflower,13,Rabi,Pakpattan,1040000,Medium,Punjab,5,2.09,5,10.0,-1.823550023268083,-0.7110947858051256,-1.1456616213178985,0.6518566425757396
Bilal Ahmed,0315-5797279,cotton,54,Kharif,Okara,8100000,Large,Punjab,10,5.82,7,10.0,1.439782158671937,1.1648130102887968,-0.18292076306756358,0.6518566425757396
Babar Ahmed,0325-0293333,wheat,31,Rabi,Lahore,2945000,Medium,Punjab,7,3.73,5,10.0,-0.518217150492075,0.1137011352656606,-1.1456616213178985,0.6518566425757396
Rizwan Khan,0314-4944665,rice,9,Kharif,Rahim Yar Khan,1080000,Small,Punjab,9,1.73,7,10.0,0.7871157222839331,-0.8921475489670054,-0.18292076306756358,0.6518566425757396
Usman Khan,0337-5899441,rice,13,Kharif,Swabi,1560000,Medium,Kpk,9,2.09,7,5.0,0.7871157222839331,-0.7110947858051256,-0.18292076306756358,-2.295054038146411
Haroon Khokhar,0309-8309652,sugarcane,36,Kharif,Swabi,6480000,Medium,Kpk,8,4.18,7,5.0,0.13444928589592908,0.3400170892180103,-0.18292076306756358,-2.295054038146411
Ali Khokhar,0322-3875842,maize,19,Kharif,Faisalabad,1900000,Medium,Punjab,6,2.64,7,10.0,-1.1708835868800789,-0.43448639764114233,-0.18292076306756358,0.6518566425757396
Nadeem Sheikh,0322-1353465,rice,21,Kharif,Faisalabad,2520000,Medium,Punjab,9,2.82,7,10.0,0.7871157222839331,-0.34396001606020254,-0.18292076306756358,0.6518566425757396
Anum Choudhary,0335-3816846,wheat,14,Both,Sahiwal,2128000,Medium,Punjab,7,2.18,10,10.0,-0.518217150492075,-0.6658315950146555,1.2611905243079389,0.6518566425757396
Iqra Gujjar,0321-2175250,wheat,22,Rabi,Multan,2090000,Medium,Punjab,7,2.91,5,10.0,-0.518217150492075,-0.2986968252697324,-1.1456616213178985,0.6518566425757396
Sajid Butt,0346-6666760,wheat,17,Rabi,Sukkur,1615000,Medium,Sindh,7,2.45,5,8.0,-0.518217150492075,-0.5300420226432455,-1.1456616213178985,-0.5269076297131206
Jamil Khokhar,0301-0335421,rice,21,Kharif,Faisalabad,2520000,Medium,Punjab,9,2.82,7,10.0,0.7871157222839331,-0.34396001606020254,-0.18292076306756358,0.6518566425757396
Babar Abbasi,0340-9856257,rice,9,Both,Vehari,1728000,Small,Punjab,9,1.73,10,10.0,0.7871157222839331,-0.8921475489670054,1.2611905243079389,0.6518566425757396
Kamran Gill,0301-9821506,maize,10,Both,Mirpur Khas,1600000,Medium,Sindh,6,1.82,10,8.0,-1.1708835868800789,-0.8468843581765354,1.2611905243079389,-0.5269076297131206
Nazia Shah,0348-0016761,rice,18,Kharif,Larkana,2160000,Medium,Sindh,9,2.55,7,8.0,0.7871157222839331,-0.4797495884316124,-0.18292076306756358,-0.5269076297131206
Haroon Junejo,0349-1849926,maize,5,Both,Gujranwala,800000,Small,Punjab,6,1.36,10,10.0,-1.1708835868800789,-1.0782295555500485,1.2611905243079389,0.6518566425757396
Usman Khattak,0312-9348356,wheat,7,Rabi,Sahiwal,665000,Small,Punjab,7,1.55,5,10.0,-0.518217150492075,-0.9826739305479454,-1.1456616213178985,0.6518566425757396
Majid Khan,0300-1197218,wheat,11,Rabi,Mardan,1045000,Medium,Kpk,7,1.91,5,5.0,-0.518217150492075,-0.8016211673860655,-1.1456616213178985,-2.295054038146411
Noreen Abbasi,0303-1204556,sugarcane,11,Both,Peshawar,3168000,Medium,Kpk,8,1.91,10,5.0,0.13444928589592908,-0.8016211673860655,1.2611905243079389,-2.295054038146411
Asif Warraich,0323-7941552,wheat,30,Rabi,Swabi,2850000,Medium,Kpk,7,3.64,5,5.0,-0.518217150492075,0.06843794447519069,-1.1456616213178985,-2.295054038146411
Farhan Junejo,0348-2120216,sunflower,9,Rabi,Khairpur,720000,Small,Sindh,5,1.73,5,8.0,-1.823550023268083,-0.8921475489670054,-1.1456616213178985,-0.5269076297131206
Hamza Ahmed,0308-7716701,wheat,25,Rabi,Rahim Yar Khan,2375000,Medium,Punjab,7,3.18,5,10.0,-0.518217150492075,-0.16290725289832247,-1.1456616213178985,0.6518566425757396
Akram Mughal,0349-5889163,rice,24,Both,Nawabshah,4608000,Medium,Sindh,9,3.09,10,8.0,0.7871157222839331,-0.2081704436887926,1.2611905243079389,-0.5269076297131206
Arshad Bhatti,0300-2877217,wheat,26,Rabi,Peshawar,2470000,Medium,Kpk,7,3.27,5,5.0,-0.518217150492075,-0.11764406210785257,-1.1456616213178985,-2.295054038146411
Irfan Mahar,0315-1779717,rice,6,Both,Peshawar,1152000,Small,Kpk,9,1.45,10,5.0,0.7871157222839331,-1.0329663647595786,1.2611905243079389,-2.295054038146411
Nadeem Khan,0305-9948837,canola,14,Rabi,Larkana,1190000,Medium,Sindh,5,2.18,5,8.0,-1.823550023268083,-0.6658315950146555,-1.1456616213178985,-0.5269076297131206
Arshad Yousafzai,0349-5711305,rice,23,Kharif,Swabi,2760000,Medium,Kpk,9,3.0,7,5.0,0.7871157222839331,-0.2534336344792625,-0.18292076306756358,-2.295054038146411
Usman Malik,0310-7261493,wheat,30,Rabi,Sahiwal,2850000,Medium,Punjab,7,3.64,5,10.0,-0.518217150492075,0.06843794447519069,-1.1456616213178985,0.6518566425757396
Sohail Malik,0347-9177982,canola,3,Rabi,Lahore,255000,Small,Punjab,5,1.18,5,10.0,-1.823550023268083,-1.1687559371309888,-1.1456616213178985,0.6518566425757396
Iqbal Yousafzai,0337-2922169,cotton,51,Both,Vehari,12240000,Large,Punjab,10,5.55,10,10.0,1.439782158671937,1.0290234379173866,1.2611905243079389,0.6518566425757396
Majid Rehman,0330-5472269,sugarcane,37,Kharif,Rahim Yar Khan,6660000,Medium,Punjab,8,4.27,7,10.0,0.13444928589592908,0.38528028000848025,-0.18292076306756358,0.6518566425757396
Nadeem Gill,0312-3945228,rice,23,Kharif,Faisalabad,2760000,Medium,Punjab,9,3.0,7,10.0,0.7871157222839331,-0.2534336344792625,-0.18292076306756358,0.6518566425757396
Iqbal Junejo,0341-4608106,wheat,47,Rabi,Okara,4465000,Medium,Punjab,7,5.18,5,10.0,-0.518217150492075,0.8429414313343433,-1.1456616213178985,0.6518566425757396
Babar Bajwa,0309-0438057,wheat,48,Rabi,Larkana,4560000,Medium,Sindh,7,5.27,5,8.0,-0.518217150492075,0.8882046221248132,-1.1456616213178985,-0.5269076297131206
Majid Lodhi,0349-0666580,wheat,21,Rabi,Bahawalpur,1995000,Medium,Punjab,7,2.82,5,10.0,-0.518217150492075,-0.34396001606020254,-1.1456616213178985,0.6518566425757396
Mehwish Lashari,0344-8933472,tobacco,2,Rabi,Multan,400000,Small,Punjab,5,1.09,5,10.0,-1.823550023268083,-1.2140191279214587,-1.1456616213178985,0.6518566425757396
Ali Talpur,0317-8422940,wheat,50,Both,Peshawar,7600000,Medium,Kpk,7,5.45,10,5.0,-0.518217150492075,0.9787310037057535,1.2611905243079389,-2.295054038146411
Tariq Wattoo,0336-9851583,canola,19,Both,Rahim Yar Khan,2584000,Medium,Punjab,5,2.64,10,10.0,-1.823550023268083,-0.43448639764114233,1.2611905243079389,0.6518566425757396
Adeel Jatoi,0323-3355543,canola,19,Rabi,Rahim Yar Khan,1615000,Medium,Punjab,5,2.64,5,10.0,-1.823550023268083,-0.43448639764114233,-1.1456616213178985,0.6518566425757396
Fatima Nawaz,0349-5739930,cotton,51,Both,Faisalabad,12240000,Large,Punjab,10,5.55,10,10.0,1.439782158671937,1.0290234379173866,1.2611905243079389,0.6518566425757396
Babar Ahmed,0340-5887704,maize,8,Kharif,Faisalabad,800000,Small,Punjab,6,1.64,7,10.0,-1.1708835868800789,-0.9374107397574755,-0.18292076306756358,0.6518566425757396
Rashid Khan,0347-1336138,maize,15,Kharif,Sukkur,1500000,Medium,Sindh,6,2.27,7,8.0,-1.1708835868800789,-0.6205684042241856,-0.18292076306756358,-0.5269076297131206
Noman Warraich,0302-1102481,cotton,39,Kharif,Charsadda,5850000,Medium,Kpk,10,4.45,7,5.0,1.439782158671937,0.4758066615894205,-0.18292076306756358,-2.295054038146411
Zahid Cheema,0301-6180919,wheat,9,Both,Rahim Yar Khan,1368000,Small,Punjab,7,1.73,10,10.0,-0.518217150492075,-0.8921475489670054,1.2611905243079389,0.6518566425757396
Haroon Jatoi,0318-7660728,wheat,30,Both,Mirpur Khas,4560000,Medium,Sindh,7,3.64,10,8.0,-0.518217150492075,0.06843794447519069,1.2611905243079389,-0.5269076297131206
Haroon Lashari,0300-8821009,cotton,78,Both,Faisalabad,18720000,Large,Punjab,10,8.0,10,10.0,1.439782158671937,2.261188076102403,1.2611905243079389,0.6518566425757396
Hamza Gill,0331-8222394,wheat,16,Rabi,Mirpur Khas,1520000,Medium,Sindh,7,2.36,5,8.0,-0.518217150492075,-0.5753052134337157,-1.1456616213178985,-0.5269076297131206
Farah Abbasi,0348-8141413,sugarcane,36,Both,Swabi,10368000,Medium,Kpk,8,4.18,10,5.0,0.13444928589592908,0.3400170892180103,1.2611905243079389,-2.295054038146411
Usman Lodhi,0346-1357759,cotton,98,Both,Gujranwala,23520000,Large,Punjab,10,9.82,10,10.0,1.439782158671937,3.176510378754129,1.2611905243079389,0.6518566425757396
Zahid Dogar,0300-5336452,cotton,52,Both,Charsadda,12480000,Large,Kpk,10,5.64,10,5.0,1.439782158671937,1.0742866287078565,1.2611905243079389,-2.295054038146411
Kashif Shah,0311-9142834,sugarcane,9,Kharif,Sukkur,1620000,Small,Sindh,8,1.73,7,8.0,0.13444928589592908,-0.8921475489670054,-0.18292076306756358,-0.5269076297131206
Iqbal Mahar,0344-3084887,cotton,29,Kharif,Sahiwal,4350000,Medium,Punjab,10,3.55,7,10.0,1.439782158671937,0.023174753684720575,-0.18292076306756358,0.6518566425757396
Babar Butt,0334-8816580,cotton,88,Both,Mirpur Khas,21120000,Large,Sindh,10,8.91,10,8.0,1.439782158671937,2.7188492274282656,1.2611905243079389,-0.5269076297131206
Akram Gujjar,0335-5037314,rice,4,Kharif,Mirpur Khas,480000,Small,Sindh,9,1.27,7,8.0,0.7871157222839331,-1.1234927463405187,-0.18292076306756358,-0.5269076297131206
Farhan Abbasi,0302-0518449,rice,8,Kharif,Vehari,960000,Small,Punjab,9,1.64,7,10.0,0.7871157222839331,-0.9374107397574755,-0.18292076306756358,0.6518566425757396
Imran Bajwa,0325-3865577,maize,2,Kharif,Multan,200000,Small,Punjab,6,1.09,7,10.0,-1.1708835868800789,-1.2140191279214587,-0.18292076306756358,0.6518566425757396
