Name,Phone,Crop_Type,Crop_Area,Season,Location,Farm_Scale,Region
Sohail Cheema,0307-1810220,wheat,36,Rabi,Lahore,Medium,Punjab
Kashif Bajwa,0303-5391037,sunflower,15,Rabi,Lahore,Medium,Punjab
Sohail Lashari,0303-9480141,canola,19,Rabi,Sahiwal,Medium,Punjab
Jamil Qureshi,0343-2886195,cotton,99,Both,Sukkur,Large,Sindh
Adeel Warraich,0349-2897558,tobacco,6,Rabi,Nawabshah,Small,Sindh
Arsalan Qureshi,0343-8368457,rice,15,Kharif,Lahore,Medium,Punjab
Jamil Butt,0320-0433504,sunflower,10,Both,Gujranwala,Medium,Punjab
Hamza Gujjar,0308-4593344,wheat,30,Rabi,Sahiwal,Medium,Punjab
Farhan Sheikh,0336-9194096,wheat,8,Rabi,Swabi,Small,KPK
Sohail Nawaz,0314-9060480,wheat,41,Rabi,Rahim Yar Khan,Medium,Punjab
Adeel Laghari,0345-9813646,wheat,26,Rabi,Gujranwala,Medium,Punjab
Yasir Jatoi,0330-8622783,rice,23,Kharif,Rahim Yar Khan,Medium,Punjab
Majid Qureshi,0304-4659116,rice,14,Kharif,Pakpattan,Medium,Punjab
Haroon Dogar,0323-9792703,wheat,28,Both,Faisalabad,Medium,Punjab
Arshad Gujjar,0318-0514770,wheat,39,Rabi,Rahim Yar Khan,Medium,Punjab
Farhan Gujjar,0349-0698042,wheat,17,Both,Mirpur Khas,Medium,Sindh
Muhammad Choudhary,0325-4510463,canola,19,Rabi,Peshawar,Medium,KPK
Saeed Jatoi,0311-3878003,sunflower,6,Rabi,Vehari,Small,Punjab
Hamza Gondal,0347-4384046,maize,2,Kharif,Swabi,Small,KPK
Adeel Butt,0305-6893639,wheat,24,Rabi,Swabi,Medium,KPK
Kamran Khokhar,0308-4826292,wheat,40,Both,Faisalabad,Medium,Punjab
Zafar Ahmed,0321-6647423,wheat,16,Rabi,Gujranwala,Medium,Punjab
Arshad Mughal,0345-3305172,rice,22,Both,Pakpattan,Medium,Punjab
Farhan Butt,0310-3306046,wheat,47,Both,Mardan,Medium,KPK
Iqra Khattak,0321-7366096,sugarcane,30,Kharif,Khairpur,Medium,Sindh
Ali Shah,0333-7038860,cotton,76,Both,Sukkur,Large,Sindh
Haroon Lodhi,0334-2649082,rice,23,Both,Rahim Yar Khan,Medium,Punjab
Rashid Butt,0330-6570279,maize,8,Kharif,Peshawar,Small,KPK
Asif Nawaz,0305-1751868,cotton,30,Both,Vehari,Medium,Punjab
Junaid Gujjar,0310-2206447,wheat,16,Rabi,Multan,Medium,Punjab
Yasir Khan,0334-7780973,wheat,47,Rabi,Vehari,Medium,Punjab
Muhammad Qureshi,0342-4983022,wheat,27,Rabi,Lahore,Medium,Punjab
Haroon Warraich,0305-0162249,cotton,99,Both,Rahim Yar Khan,Large,Punjab
Iqbal Lashari,0302-1455616,maize,4,Both,Multan,Small,Punjab
Nida Junejo,0340-3390198,tobacco,8,Rabi,Mirpur Khas,Small,Sindh
Bushra Talpur,0345-5489952,cotton,73,Both,Bahawalpur,Large,Punjab
Arshad Mughal,0318-3010713,sugarcane,31,Both,Pakpattan,Medium,Punjab
Naveed Khan,0347-3441448,rice,27,Both,Pakpattan,Medium,Punjab
Arshad Ahmed,0311-3557702,rice,23,Kharif,Rahim Yar Khan,Medium,Punjab
Sohail Bhatti,0340-4958803,cotton,52,Both,Hyderabad,Large,Sindh
Ahmad Warraich,0325-8299629,wheat,24,Rabi,Hyderabad,Medium,Sindh
Sajid Khattak,0315-5743842,wheat,7,Rabi,Sukkur,Small,Sindh
Farhan Gujjar,0312-5784521,maize,18,Both,Larkana,Medium,Sindh
Irfan Nawaz,0300-4091570,wheat,47,Rabi,Sukkur,Medium,Sindh
Naveed Cheema,0312-3448571,wheat,15,Rabi,Lahore,Medium,Punjab
Usman Gill,0341-5854249,wheat,9,Rabi,Pakpattan,Small,Punjab
Ahmad Yousafzai,0303-1601662,sugarcane,33,Both,Hyderabad,Medium,Sindh
Rashid Jatoi,0334-9217174,cotton,100,Both,Nawabshah,Large,Sindh
Arshad Bajwa,0324-6255770,wheat,12,Rabi,Bahawalpur,Medium,Punjab
Hamza Butt,0337-1615814,rice,15,Kharif,Sahiwal,Medium,Punjab
Farhan Tarar,0304-5396695,rice,10,Kharif,Faisalabad,Medium,Punjab
Kashif Nawaz,0344-9758172,wheat,30,Rabi,Faisalabad,Medium,Punjab
Irfan Cheema,0336-0132902,cotton,67,Kharif,Vehari,Large,Punjab
Naveed Cheema,0320-9465190,cotton,75,Kharif,Multan,Large,Punjab
Nadeem Bhatti,0300-8514036,sugarcane,30,Kharif,Khairpur,Medium,Sindh
Rashid Gill,0349-2723865,maize,6,Both,Multan,Small,Punjab
Ahmad Gujjar,0336-6212679,sunflower,11,Rabi,Rahim Yar Khan,Medium,Punjab
Irfan Gondal,0314-2690973,sugarcane,22,Kharif,Rahim Yar Khan,Medium,Punjab
Ali Yousafzai,0324-1971284,rice,5,Both,Gujranwala,Small,Punjab
Imran Wattoo,0346-0580778,sunflower,11,Rabi,Nawabshah,Medium,Sindh
Bushra Lodhi,0310-0949407,cotton,83,Kharif,Okara,Large,Punjab
Babar Khattak,0305-2814429,wheat,21,Rabi,Faisalabad,Medium,Punjab
Humaira Gujjar,0349-7524372,sugarcane,7,Kharif,Faisalabad,Small,Punjab
Zafar Khattak,0331-6372395,wheat,21,Both,Sukkur,Medium,Sindh
Farhan Wattoo,0335-8366742,rice,16,Kharif,Bahawalpur,Medium,Punjab
Jamil Malik,0306-8569454,wheat,11,Rabi,Gujranwala,Medium,Punjab
Majid Khokhar,0340-5258001,wheat,11,Rabi,Bahawalpur,Medium,Punjab
Yasir Khokhar,0302-0910939,cotton,100,Kharif,Peshawar,Large,KPK
Akram Sheikh,0307-2447174,sugarcane,25,Both,Faisalabad,Medium,Punjab
Irfan Warraich,0303-4427173,cotton,32,Both,Sukkur,Medium,Sindh
Naveed Shah,0333-4101194,sugarcane,6,Kharif,Mardan,Small,KPK
Ali Tarar,0317-2569087,rice,15,Kharif,Sukkur,Medium,Sindh
Farhan Nawaz,0343-8554601,rice,30,Kharif,Peshawar,Medium,KPK
Babar Khokhar,0311-8063461,cotton,55,Kharif,Bahawalpur,Large,Punjab
Fawad Ahmed,0344-3761847,rice,29,Both,Sukkur,Medium,Sindh
Ali Mahar,0307-3878293,sunflower,2,Rabi,Nawabshah,Small,Sindh
Arshad Malik,0315-2020417,cotton,85,Both,Faisalabad,Large,Punjab
Arshad Mughal,0304-3656519,rice,13,Kharif,Larkana,Medium,Sindh
Junaid Choudhary,0307-4262582,rice,21,Kharif,Faisalabad,Medium,Punjab
Irfan Dogar,0301-7100219,maize,15,Kharif,Nawabshah,Medium,Sindh
Shehzad Laghari,0331-3290927,cotton,21,Both,Hyderabad,Medium,Sindh
Majid Khokhar,0307-8195883,rice,23,Both,Hyderabad,Medium,Sindh
Zafar Yousafzai,0336-2200543,rice,13,Both,Nawabshah,Medium,Sindh
Rashid Sheikh,0310-0781137,cotton,51,Both,Pakpattan,Large,Punjab
Faisal Shah,0315-6363179,rice,16,Kharif,Gujranwala,Medium,Punjab
Kamran Abbasi,0312-5435209,wheat,13,Rabi,Bahawalpur,Medium,Punjab
Junaid Mughal,0318-9292983,wheat,38,Rabi,Sahiwal,Medium,Punjab
Shehzad Khan,0332-3356939,canola,3,Both,Lahore,Small,Punjab
Shahid Malik,0332-8671773,wheat,5,Rabi,Nawabshah,Small,Sindh
Babar Qureshi,0348-1074279,sugarcane,6,Kharif,Charsadda,Small,KPK
Shazia Sheikh,0324-7016580,wheat,22,Rabi,Mirpur Khas,Medium,Sindh
Sajid Warraich,0303-8501657,cotton,56,Kharif,Rahim Yar Khan,Large,Punjab
Naveed Butt,0322-3817933,wheat,22,Both,Vehari,Medium,Punjab
Hamza Laghari,0336-8817884,rice,14,Kharif,Khairpur,Medium,Sindh
Zainab Khokhar,0334-1162411,wheat,12,Both,Nawabshah,Medium,Sindh
Ahmad Lodhi,0331-8275670,wheat,9,Rabi,Sahiwal,Small,Punjab
Junaid Junejo,0344-5579887,rice,21,Both,Okara,Medium,Punjab
Farhan Lashari,0318-0254729,sunflower,13,Rabi,Multan,Medium,Punjab
Zafar Dogar,0315-1059274,rice,9,Kharif,Lahore,Small,Punjab
Sadia Lashari,0333-8284106,sunflower,14,Rabi,Bahawalpur,Medium,Punjab
Rashid Warraich,0348-4749297,wheat,12,Both,Sukkur,Medium,Sindh
Haroon Ahmed,0330-9375150,cotton,34,Kharif,Sahiwal,Medium,Punjab
Fawad Ahmed,0305-8718637,wheat,43,Rabi,Lahore,Medium,Punjab
Zafar Talpur,0324-6504554,canola,20,Rabi,Bahawalpur,Medium,Punjab
Amjad Lodhi,0310-6629912,wheat,35,Both,Swabi,Medium,KPK
Shazia Jatoi,0300-6462879,sugarcane,13,Both,Vehari,Medium,Punjab
Haroon Wattoo,0336-8730024,wheat,45,Both,Nawabshah,Medium,Sindh
Babar Junejo,0311-7301471,cotton,56,Both,Gujranwala,Large,Punjab
Farhan Nawaz,0324-8904290,wheat,34,Rabi,Mardan,Medium,KPK
Waseem Junejo,0347-5044818,wheat,45,Rabi,Faisalabad,Medium,Punjab
Arsalan Cheema,0320-4518952,wheat,38,Rabi,Bahawalpur,Medium,Punjab
Maryam Shah,0313-2833898,maize,19,Kharif,Sukkur,Medium,Sindh
Amina Butt,0301-7545279,rice,13,Both,Okara,Medium,Punjab
Faisal Butt,0309-3423216,cotton,24,Kharif,Bahawalpur,Medium,Punjab
Usman Malik,0349-8907140,wheat,47,Rabi,Faisalabad,Medium,Punjab
Sana Khokhar,0311-5012495,rice,30,Both,Gujranwala,Medium,Punjab
Usman Khan,0340-3342801,sunflower,10,Rabi,Charsadda,Medium,KPK
Amjad Shah,0311-5663836,wheat,25,Rabi,Faisalabad,Medium,Punjab
Waseem Lodhi,0342-0157164,rice,26,Both,Bahawalpur,Medium,Punjab
Zahid Khokhar,0304-7520716,rice,24,Both,Sukkur,Medium,Sindh
Iqbal Shah,0310-1535396,wheat,32,Rabi,Hyderabad,Medium,Sindh
Iqbal Rehman,0348-6579678,wheat,34,Rabi,Okara,Medium,Punjab
Kamran Ahmed,0306-0170269,cotton,29,Both,Gujranwala,Medium,Punjab
Jamil Khattak,0334-3477848,wheat,39,Rabi,Lahore,Medium,Punjab
Amina Tarar,0333-5677002,cotton,48,Kharif,Mardan,Medium,KPK
Irfan Khattak,0307-9788977,cotton,30,Both,Vehari,Medium,Punjab
Irfan Gondal,0318-5009025,wheat,42,Rabi,Pakpattan,Medium,Punjab
Hamza Junejo,0323-0333491,sunflower,3,Rabi,Peshawar,Small,KPK
Arsalan Malik,0334-6986407,cotton,50,Both,Vehari,Medium,Punjab
Kashif Shah,0313-5785294,rice,16,Kharif,Faisalabad,Medium,Punjab
Babar Bajwa,0303-4963919,wheat,26,Rabi,Gujranwala,Medium,Punjab
Naveed Gondal,0304-4846853,rice,11,Kharif,Nawabshah,Medium,Sindh
Ahmad Sheikh,0343-7374896,sunflower,13,Both,Mirpur Khas,Medium,Sindh
Majid Gujjar,0320-6651364,maize,7,Kharif,Gujranwala,Small,Punjab
Zafar Khokhar,0301-3477866,cotton,14,Both,Okara,Medium,Punjab
Shehzad Sheikh,0348-0700159,wheat,9,Rabi,Charsadda,Small,KPK
Sajid Mahar,0308-3198189,canola,19,Both,Faisalabad,Medium,Punjab
Arsalan Warraich,0344-6363212,wheat,22,Rabi,Okara,Medium,Punjab
Rashid Lashari,0307-5867342,rice,25,Both,Okara,Medium,Punjab
Sobia Malik,0349-0348645,sunflower,12,Rabi,Sahiwal,Medium,Punjab
Adeel Bajwa,0320-1343275,maize,15,Kharif,Hyderabad,Medium,Sindh
Kashif Yousafzai,0331-5612481,rice,22,Kharif,Mirpur Khas,Medium,Sindh
Ahmad Bhatti,0348-2720634,wheat,10,Rabi,Sahiwal,Medium,Punjab
Ayesha Butt,0345-6577242,cotton,51,Both,Larkana,Large,Sindh
Adeel Tarar,0343-3008931,canola,9,Both,Multan,Small,Punjab
Saeed Bajwa,0309-1529108,rice,17,Both,Nawabshah,Medium,Sindh
Fawad Rehman,0318-7626393,tobacco,5,Rabi,Larkana,Small,Sindh
Zafar Ahmed,0318-4397359,cotton,68,Both,Bahawalpur,Large,Punjab
Adeel Gill,0325-6941180,wheat,20,Rabi,Pakpattan,Medium,Punjab
Sobia Malik,0300-4896465,wheat,40,Both,Multan,Medium,Punjab
Junaid Abbasi,0308-1586241,wheat,13,Rabi,Okara,Medium,Punjab
Bushra Bajwa,0346-4856257,sugarcane,14,Both,Bahawalpur,Medium,Punjab
Faisal Sheikh,0302-7427617,wheat,27,Rabi,Charsadda,Medium,KPK
Zafar Nawaz,0323-1342284,cotton,94,Kharif,Gujranwala,Large,Punjab
Akram Sheikh,0331-1371504,cotton,97,Both,Pakpattan,Large,Punjab
Nida Gujjar,0301-1777490,wheat,7,Rabi,Nawabshah,Small,Sindh
Akram Butt,0313-0450189,rice,15,Kharif,Sahiwal,Medium,Punjab
Zainab Ahmed,0313-2664214,rice,16,Kharif,Hyderabad,Medium,Sindh
Hamza Shah,0324-8377674,cotton,64,Kharif,Vehari,Large,Punjab
Zahid Talpur,0305-0857327,rice,23,Kharif,Okara,Medium,Punjab
Farhan Wattoo,0309-2438649,wheat,9,Rabi,Peshawar,Small,KPK
Noman Bajwa,0323-4918017,wheat,16,Both,Sukkur,Medium,Sindh
Bushra Cheema,0344-7794523,wheat,43,Rabi,Faisalabad,Medium,Punjab
Adeel Nawaz,0300-2776974,cotton,88,Kharif,Vehari,Large,Punjab
Kamran Khan,0312-1030372,cotton,65,Both,Mirpur Khas,Large,Sindh
Noman Gujjar,0335-6012277,rice,30,Both,Sahiwal,Medium,Punjab
Adeel Bhatti,0322-0166799,sugarcane,23,Kharif,Vehari,Medium,Punjab
Arshad Khattak,0314-0806958,wheat,46,Both,Bahawalpur,Medium,Punjab
